x,y
-1151.673640167364, 219.02654867256638
-1076.3598326359834, 451.32743362831866
-994.7698744769875, 570.7964601769913
-841.0041841004185, 846.2389380530972
-621.3389121338912, 882.7433628318586
-533.4728033472804, 1028.7610619469028
-385.9832635983264, 1018.8053097345132
-316.94560669456064, 1158.1858407079644
310.6694560669455, 1154.8672566371683
461.2970711297071, 992.2566371681414
615.0627615062763, 899.3362831858408
778.2426778242675, 892.6991150442477
1154.8117154811716, 222.3451327433629
1007.3221757322176, 43.141592920354014
1076.3598326359834, -89.60176991150433
1010.460251046025, -308.6283185840707
1079.4979079497907, -448.0088495575221
762.5523012552298, -975.6637168141593
542.8870292887029, -1008.8495575221239
542.8870292887029, -1115.0442477876106
464.43514644351467, -1144.9115044247787
-464.43514644351467, -1148.2300884955753
-611.9246861924687, -985.6194690265487
-699.7907949790796, -1008.8495575221239
-1070.0836820083682, -434.7345132743362
-1001.0460251046024, -301.9911504424779
-1001.0460251046024, -205.75221238938047
-1070.0836820083682, -82.9646017699115
-994.7698744769875, 39.82300884955748
-1076.3598326359834, 99.55752212389393
