# ri_x ri_y rf_x rf_y dist
-160.000 160.000 160.000 160.000 320.00
160.000 160.000 160.000 -160.000 320.00
160.000 -160.000 -160.000 -160.000 320.00
-160.000 -160.000 -160.000 160.000 320.00
