-1001.000 -45.320 -1001.000 47.050 92.370
-1076.500 -88.910 -1001.000 -45.320 87.180
-1076.500 -176.090 -1076.500 -88.910 87.180
-1001.000 -219.680 -1076.500 -176.090 87.180
-1001.000 -312.060 -1001.000 -219.680 92.380
-1076.500 -355.650 -1001.000 -312.060 87.180
-1076.500 -442.830 -1076.500 -355.650 87.180
-1001.000 -486.420 -1076.500 -442.830 87.180
-999.500 -576.200 -1001.000 -486.420 87.180
-924.000 -619.790 -999.500 -576.200 87.180
-922.500 -709.560 -924.000 -619.790 87.180
-847.000 -753.150 -922.500 -709.560 87.180
-845.500 -842.930 -847.000 -753.150 87.180
-770.000 -886.520 -845.500 -842.930 87.180
-768.500 -976.300 -770.000 -886.520 87.180
-693.000 -1019.890 -768.500 -976.300 87.180
-617.500 -976.300 -693.000 -1019.890 87.180
-537.500 -1022.490 -617.500 -976.300 92.377
-537.500 -1109.670 -537.500 -1022.490 87.180
-462.000 -1153.260 -537.500 -1109.670 87.180
-386.500 -1109.670 -462.000 -1153.260 87.180
-308.000 -1153.260 -386.500 -1109.670 87.180
-232.500 -1109.670 -308.000 -1153.260 87.180
-154.000 -1153.260 -232.500 -1109.670 87.180
-78.500 -1109.670 -154.000 -1153.260 87.180
-0.000 -1153.260 -78.500 -1109.670 87.180
75.500 -1109.670 -0.000 -1153.260 87.180
154.000 -1153.260 75.500 -1109.670 87.180
229.500 -1109.670 154.000 -1153.260 87.180
308.000 -1153.260 229.500 -1109.670 87.180
383.500 -1109.670 308.000 -1153.260 87.180
462.000 -1153.260 383.500 -1109.670 87.180
537.500 -1109.670 462.000 -1153.260 87.180
537.500 -1022.490 537.500 -1109.670 87.180
617.500 -976.300 537.500 -1022.490 92.377
693.000 -1019.890 617.500 -976.300 87.180
768.500 -976.300 693.000 -1019.890 87.180
768.500 -889.120 768.500 -976.300 87.180
845.500 -842.930 768.500 -889.120 87.180
845.500 -755.750 845.500 -842.930 87.180
922.500 -709.560 845.500 -755.750 87.180
922.500 -622.380 922.500 -709.560 87.180
999.500 -576.200 922.500 -622.380 87.180
999.500 -489.020 999.500 -576.200 87.180
1076.500 -442.830 999.500 -489.020 87.180
1076.500 -355.650 1076.500 -442.830 87.180
1001.000 -312.060 1076.500 -355.650 87.180
1001.000 -219.680 1001.000 -312.060 92.380
1076.500 -176.090 1001.000 -219.680 87.180
1076.500 -88.910 1076.500 -176.090 87.180
1001.000 -45.320 1076.500 -88.910 87.180
1001.000 47.050 1001.000 -45.320 92.370
1076.500 90.640 1001.000 47.050 87.180
1076.500 177.820 1076.500 90.640 87.180
1078.000 180.420 1076.500 177.820 3.002
1153.500 224.010 1076.500 177.820 87.180
1153.500 311.190 1153.500 224.010 87.180
1078.000 354.780 1153.500 311.190 87.180
1076.500 444.560 1078.000 354.780 87.180
1001.000 488.150 1076.500 444.560 87.180
999.500 577.930 1001.000 488.150 87.180
924.000 621.520 999.500 577.930 87.180
922.500 711.300 924.000 621.520 87.180
847.000 754.890 922.500 711.300 87.180
845.500 844.660 847.000 754.890 87.180
770.000 888.250 845.500 844.660 87.180
694.500 844.660 770.000 888.250 87.180
614.500 890.850 694.500 844.660 92.377
614.500 978.030 614.500 890.850 87.180
539.000 1021.620 614.500 978.030 87.180
463.500 978.030 539.000 1021.620 87.180
383.500 1024.220 463.500 978.030 92.377
383.500 1111.400 383.500 1024.220 87.180
308.000 1154.990 383.500 1111.400 87.180
232.500 1111.400 308.000 1154.990 87.180
154.000 1154.990 232.500 1111.400 87.180
78.500 1111.400 154.000 1154.990 87.180
0.000 1154.990 78.500 1111.400 87.180
-75.500 1111.400 0.000 1154.990 87.180
-154.000 1154.990 -75.500 1111.400 87.180
-229.500 1111.400 -154.000 1154.990 87.180
-308.000 1154.990 -229.500 1111.400 87.180
-383.500 1111.400 -308.000 1154.990 87.180
-383.500 1024.220 -383.500 1111.400 87.180
-463.500 978.030 -383.500 1024.220 92.377
-539.000 1021.620 -463.500 978.030 87.180
-614.500 978.030 -539.000 1021.620 87.180
-614.500 890.850 -614.500 978.030 87.180
-694.500 844.660 -614.500 890.850 92.377
-770.000 888.250 -694.500 844.660 87.180
-845.500 844.660 -770.000 888.250 87.180
-845.500 757.480 -845.500 844.660 87.180
-922.500 711.300 -845.500 757.480 87.180
-922.500 624.120 -922.500 711.300 87.180
-999.500 577.930 -922.500 624.120 87.180
-999.500 490.750 -999.500 577.930 87.180
-1076.500 444.560 -999.500 490.750 87.180
-1076.500 357.380 -1076.500 444.560 87.180
-1153.500 311.190 -1076.500 357.380 87.180
-1153.500 224.010 -1153.500 311.190 87.180
-1078.000 180.420 -1153.500 224.010 87.180
-1076.500 90.640 -1076.500 177.820 87.180
-1001.000 47.050 -1076.500 90.640 87.180
